"","DATETIME (LOCAL)","DATETIME (UTC)","DATE (LT)","DATE (UTC)","REGION","COUNTRY","INCIDENT TYPE","VESSEL TYPE","MAERSK?","VESSEL ACTIVITY LOCATION","LAT","LONG","TIMEZONE","TIME OF DAY","ATTACKS","ATTACK SUCCESS"
"37",NA,NA,2016-01-02,2016-01-02,"SOUTH EAST ASIA","VIETNAM","OTHER MARITIME RISK","FISHING VESSEL","0",NA,17.5897033333333,107.839736944444,"Asia/Ho_Chi_Minh","UNKNOWN",1,1
"38",NA,NA,2016-01-02,2016-01-02,"SOUTH EAST ASIA","MALAYSIA","FAILED ATTACK, HIJACKING","FISHING VESSEL","0","OFF SHORE",1.36290583333333,103.268255,"Asia/Jakarta","UNKNOWN",1,0
"39",2016-01-01 16:00:00,2016-01-01 15:00:00,2016-01-01,2016-01-01,"NORTH EAST ASIA","CHINA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",38.7103744444444,118.0426025,"Asia/Shanghai","AFTERNOON",1,1
"40",NA,NA,2016-02-29,2016-02-29,"NORTH AFRICA","LIBYA","COUNTER INSURGENCY/MILITARY OPERATION",NA,"0",NA,31.2139163888889,16.6320991666667,"Africa/Tripoli","MORNING",1,1
"41",NA,NA,2016-02-29,2016-02-29,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","PASSENGER VESSEL","0","OFF SHORE",5.41532444444444,5.50689694444444,"Africa/Lagos","MORNING",1,1
"42",2016-02-26 18:00:00,2016-02-26 17:00:00,2016-02-26,2016-02-26,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","SUPPLY VESSEL","0","OFF SHORE",4.35051805555555,5.22537222222222,"Africa/Lagos","EVENING",1,1
"43",2016-02-26 16:30:00,2016-02-26 15:30:00,2016-02-26,2016-02-26,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","SUPPLY VESSEL","0","OFF SHORE",4.11666666666667,4.96666666666667,"Africa/Lagos","AFTERNOON",1,1
"44",2016-02-25 06:48:00,2016-02-25 05:48:00,2016-02-25,2016-02-25,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","SUSPICIOUS ACTIVITY AT SEA",NA,"0","OFF SHORE",13.7683333333333,51.1841666666667,"Africa/Mogadishu","MORNING",1,0
"45",2016-02-23 09:30:00,2016-02-23 08:30:00,2016-02-23,2016-02-23,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","SUPPLY VESSEL","0","OFF SHORE",3.81666666666667,5.33333333333333,"Africa/Lagos","MORNING",1,1
"46",2016-02-20 15:30:00,2016-02-20 14:30:00,2016-02-20,2016-02-20,"WEST AFRICA","EQUATORIAL GUINEA","SUSPICIOUS ACTIVITY AT SEA",NA,"0","OFF SHORE",2.53333333333333,8.21666666666667,"Africa/Malabo","AFTERNOON",1,0
"47",2016-02-20 04:12:00,2016-02-20 03:12:00,2016-02-20,2016-02-20,"HORN OF AFRICA/ GULF OF ADEN","YEMEN","SUSPICIOUS ACTIVITY AT SEA","BULK CARRIER","0","OFF SHORE",14.7,51.4666666666667,"Asia/Riyadh","NIGHT",1,0
"48",2016-02-19 17:00:00,2016-02-19 16:00:00,2016-02-19,2016-02-19,"WEST AFRICA","NIGERIA","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,1.66666666666667,3.66666666666667,"Africa/Lagos","AFTERNOON",1,0
"49",2016-02-19 14:45:00,2016-02-19 13:45:00,2016-02-19,2016-02-19,"SOUTH ASIA","INDIA","FAILED ATTACK, THEFT","TUG","0","OFF SHORE",21.14,72.16,"Asia/Kolkata","AFTERNOON",1,0
"50",2016-02-19 13:00:00,2016-02-19 12:00:00,2016-02-19,2016-02-19,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","FISHING TRAWLER","0","OFF SHORE",4.57710944444444,8.23219305555556,"Africa/Lagos","AFTERNOON",1,0
"51",NA,NA,2016-02-19,2016-02-19,"WEST AFRICA","NIGERIA","INSURGENCY OPERATION",NA,"0",NA,4.388175,5.98892222222222,"Africa/Lagos","MORNING",1,1
"52",NA,NA,2016-02-19,2016-02-19,"SOUTH ASIA","BANGLADESH","KIDNAP/RANSOM AT SEA",NA,"0","OFF SHORE",21.8602777777778,89.9463888888889,"Asia/Dhaka","UNKNOWN",1,1
"53",2016-02-18 13:00:00,2016-02-18 12:00:00,2016-02-18,2016-02-18,"WEST AFRICA","NIGERIA","HIJACKING AT SEA","TANKER","0","OFF SHORE",1.63333333333333,3.63333333333333,"Africa/Lagos","AFTERNOON",1,1
"54",2016-02-17 14:30:00,2016-02-17 13:30:00,2016-02-17,2016-02-17,"WEST AFRICA","NIGERIA","HIJACKING AT SEA","TANKER","0","OFF SHORE",3.41666666666667,3.4,"Africa/Lagos","AFTERNOON",1,1
"55",2016-02-17 08:00:00,2016-02-17 07:00:00,2016-02-17,2016-02-17,"WEST AFRICA","NIGERIA","HIJACKING AT SEA","TANKER","0","OFF SHORE",4.1,3.45,"Africa/Lagos","MORNING",1,1
"56",2016-02-15 06:00:00,2016-02-15 05:00:00,2016-02-15,2016-02-15,"SOUTH ASIA","INDIA","THEFT AT ANCHORAGE","PRODUCT TANKER","0","ANCHORAGE",22.0333333333333,88.1,"Asia/Kolkata","MORNING",1,1
"57",NA,NA,2016-02-15,2016-02-15,"WEST AFRICA","NIGERIA","HIJACKING AT SEA",NA,"0","OFF SHORE",2.46666666666667,2.65,"Africa/Lagos","UNKNOWN",1,1
"58",2016-02-14 00:15:00,2016-02-13 23:15:00,2016-02-14,2016-02-13,"SOUTH ASIA","INDIA","FAILED ATTACK, THEFT","BULK CARRIER","0","ANCHORAGE",22.7666666666667,70,"Asia/Kolkata","NIGHT",1,0
"59",2016-02-14 04:00:00,2016-02-14 03:00:00,2016-02-14,2016-02-14,"WEST AFRICA","NIGERIA","SUSPICIOUS ACTIVITY AT BERTH","MERCHANT VESSEL","0","BERTH",6.43352444444445,3.36593611111111,"Africa/Lagos","NIGHT",1,0
"60",2016-02-14 03:00:00,2016-02-14 02:00:00,2016-02-14,2016-02-14,"SOUTH EAST ASIA","PHILIPPINES","THEFT AT ANCHORAGE","PRODUCT TANKER","0","ANCHORAGE",13.7166666666667,121.033333333333,"Asia/Manila","NIGHT",1,1
"61",NA,NA,2016-02-14,2016-02-14,"HORN OF AFRICA/ GULF OF ADEN","YEMEN","ANTI-PIRACY/NAVAL OPERATION","SUPPLY VESSEL","0",NA,16.8844327777778,42.5317130555556,"Asia/Riyadh","UNKNOWN",1,0
"62",NA,NA,2016-02-14,2016-02-14,"WEST AFRICA","TOGO","HIJACKING AT SEA",NA,"0","OFF SHORE",3.27214555555556,1.38427722222222,"Africa/Lome","UNKNOWN",1,1
"63",2016-02-13 10:45:00,2016-02-13 09:45:00,2016-02-13,2016-02-13,"WEST AFRICA","GHANA","HIJACKING AT SEA",NA,"0","OFF SHORE",2.75,-0.933333333333333,"Africa/Accra","MORNING",1,1
"64",NA,NA,2016-02-12,2016-02-12,"NORTH AFRICA","LIBYA","ANTI-PIRACY/NAVAL OPERATION","TANKER","0",NA,33.4418986111111,12.6823425,"Africa/Tripoli","EVENING",1,0
"65",2016-02-11 23:15:00,2016-02-11 22:15:00,2016-02-11,2016-02-11,"WEST AFRICA","COTE D'IVOIRE","HIJACKING AT SEA","TANKER","0","OFF SHORE",4,-4,"Africa/Abidjan","EVENING",1,1
"66",2016-02-11 16:00:00,2016-02-11 15:00:00,2016-02-11,2016-02-11,"WEST AFRICA","NIGERIA","FAILED ATTACK, HIJACKING","PRODUCT TANKER","0","OFF SHORE",3.60194444444444,5.635,"Africa/Lagos","AFTERNOON",1,0
"67",2016-02-11 07:15:00,2016-02-11 06:15:00,2016-02-11,2016-02-11,"WEST AFRICA","COTE D'IVOIRE","HIJACKING AT SEA",NA,"0","OFF SHORE",4.13666666666667,-3.97027777777778,"Africa/Abidjan","MORNING",1,1
"68",NA,NA,2016-02-11,2016-02-11,"NORTH AFRICA","LIBYA","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,32.8934258333333,22.5164794444444,"Africa/Tripoli","UNKNOWN",1,0
"69",2016-02-10 07:45:00,2016-02-10 06:45:00,2016-02-10,2016-02-10,"WEST AFRICA","GHANA","HIJACKING AT SEA",NA,"0","OFF SHORE",4.15,-1.21666666666667,"Africa/Accra","MORNING",1,1
"70",2016-02-09 15:00:00,2016-02-09 14:00:00,2016-02-09,2016-02-09,"WEST AFRICA","GHANA","HIJACKING AT SEA",NA,"0","OFF SHORE",3.63333333333333,-0.683333333333333,"Africa/Accra","AFTERNOON",1,1
"71",NA,NA,2016-02-09,2016-02-09,"MIDDLE EAST","YEMEN","INSURGENCY OPERATION",NA,"0",NA,12.8613433333333,44.9848938888889,"Asia/Riyadh","MORNING",1,1
"72",2016-02-09 02:10:00,2016-02-09 01:10:00,2016-02-09,2016-02-09,"WEST AFRICA","CONGO","ARMED ROBBERY AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",-4.13333333333333,13.0333333333333,"Africa/Lagos","NIGHT",1,1
"73",NA,NA,2016-02-09,2016-02-09,"WEST AFRICA","NIGERIA","NOTICE",NA,"0",NA,3.51342111111111,5.95458972222222,"Africa/Lagos","UNKNOWN",1,0
"74",2016-02-08 22:00:00,2016-02-08 21:00:00,2016-02-08,2016-02-08,"SOUTH ASIA","INDIA","FAILED ATTACK, THEFT","PRODUCT TANKER","0","ANCHORAGE",22.7833333333333,70,"Asia/Kolkata","EVENING",1,0
"75",NA,NA,2016-02-08,2016-02-08,"WEST AFRICA","GHANA","HIJACKING AT SEA",NA,"0","OFF SHORE",5.16666666666667,1,"Africa/Accra","MORNING",1,1
"76",2016-02-05 08:09:00,2016-02-05 07:09:00,2016-02-05,2016-02-05,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","CONTAINER SHIP","1","OFF SHORE",4.05555555555556,6.88333333333333,"Africa/Lagos","MORNING",1,0
"77",2016-02-05 07:30:00,2016-02-05 06:30:00,2016-02-05,2016-02-05,"WEST AFRICA","NIGERIA","FAILED ATTACK, ROBBERY","LNG TANKER","0","OFF SHORE",4.16666666666667,7,"Africa/Lagos","MORNING",1,0
"78",2016-02-05 03:50:00,2016-02-05 02:50:00,2016-02-05,2016-02-05,"SOUTH AMERICA","GUYANA","ARMED ROBBERY AT ANCHORAGE","CONTAINER SHIP","0","ANCHORAGE",6.83853333333333,-57.8068844444444,"America/Guyana","NIGHT",1,1
"79",2016-02-03 02:00:00,2016-02-03 01:00:00,2016-02-03,2016-02-03,"SOUTH AMERICA","PERU","FAILED ATTACK, THEFT","PRODUCT TANKER","0","ANCHORAGE",-12,-76.8,"America/Lima","NIGHT",1,0
"80",2016-03-30 04:00:00,2016-03-30 02:00:00,2016-03-30,2016-03-30,"WEST AFRICA","BENIN","SUSPICIOUS ACTIVITY AT SEA","PRODUCT TANKER","0","OFF SHORE",5.86805555555556,2.20027777777778,"Africa/Porto-Novo","NIGHT",1,0
"81",2016-03-30 01:30:00,2016-03-29 23:30:00,2016-03-30,2016-03-29,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, THEFT","BULK CARRIER","0","ANCHORAGE",-6,106.9,"Asia/Jakarta","NIGHT",1,0
"82",NA,NA,2016-03-27,2016-03-27,"NORTH EAST ASIA","CHINA","THEFT AT BERTH","BULK CARRIER","0","BERTH",32.2666666666667,119.416666666667,"Asia/Shanghai","UNKNOWN",1,1
"83",2016-03-26 00:40:00,2016-03-25 23:40:00,2016-03-26,2016-03-25,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","PRODUCT TANKER","0","OFF SHORE",4.33333333333333,5.16666666666667,"Africa/Lagos","NIGHT",1,1
"84",2016-03-26 16:30:00,2016-03-26 15:30:00,2016-03-26,2016-03-26,"SOUTH EAST ASIA","MALAYSIA","KIDNAP/RANSOM AT SEA","TUG","0","OFF SHORE",4.81555555555556,119.214722222222,"Asia/Manila","AFTERNOON",1,1
"85",2016-03-23 22:19:00,2016-03-23 21:19:00,2016-03-23,2016-03-23,"SOUTH AMERICA","PERU","THEFT AT ANCHORAGE","VEHICLE CARRIER","0","ANCHORAGE",-11.9833333333333,-76.8,"America/Lima","EVENING",1,1
"86",2016-03-22 01:20:00,2016-03-22 00:20:00,2016-03-22,2016-03-22,"SOUTH EAST ASIA","INDONESIA","ARMED ROBBERY AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",-4.1025,106.872222222222,"Asia/Pontianak","NIGHT",1,1
"87",NA,NA,2016-03-22,2016-03-22,"SOUTH EAST ASIA","INDONESIA","THEFT AT BERTH","PRODUCT TANKER","0","BERTH",1.44194444444444,125.196388888889,"Asia/Makassar","EVENING",1,1
"88",NA,NA,2016-03-21,2016-03-21,"SOUTH EAST ASIA","MALAYSIA","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,2.96498444444444,100.426025277778,"Asia/Jakarta","MORNING",1,0
"89",2016-03-17 11:00:00,2016-03-17 10:00:00,2016-03-17,2016-03-17,"WEST AFRICA","NIGERIA","INSURGENCY OPERATION",NA,"0",NA,4.67935861111111,6.77719111111111,"Africa/Lagos","MORNING",1,1
"90",NA,NA,2016-03-15,2016-03-15,"SOUTH AMERICA","ARGENTINA","ANTI-PIRACY/NAVAL OPERATION","FISHING VESSEL","0",NA,-40.2077175,-59.7580038888889,"America/Argentina/Buenos_Aires","UNKNOWN",1,0
"91",NA,NA,2016-03-14,2016-03-14,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","INSURGENCY OPERATION",NA,"0",NA,6.94169416666667,49.32312,"Africa/Nairobi","UNKNOWN",1,1
"92",2016-03-13 22:55:00,2016-03-13 21:55:00,2016-03-13,2016-03-13,"WEST AFRICA","NIGERIA","SUSPICIOUS ACTIVITY AT SEA","PRODUCT TANKER","0","OFF SHORE",6.33472222222222,3.33333333333333,"Africa/Lagos","EVENING",1,0
"93",2016-03-13 13:00:00,2016-03-13 12:00:00,2016-03-13,2016-03-13,"WEST AFRICA","COTE D'IVOIRE","TERRORIST ATTACK, OTHER, MARITIME",NA,"0",NA,5.19456305555556,-2.26472361111111,"Africa/Accra","AFTERNOON",1,1
"94",2016-03-12 15:35:00,2016-03-12 14:35:00,2016-03-12,2016-03-12,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","FISHING VESSEL","0","OFF SHORE",2.61388888888889,6.10833333333333,"Africa/Lagos","AFTERNOON",1,1
"95",2016-03-11 19:05:00,2016-03-11 18:05:00,2016-03-11,2016-03-11,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","BULK CARRIER","0","OFF SHORE",3.5,5.05,"Africa/Lagos","EVENING",1,0
"96",2016-03-11 13:40:00,2016-03-11 12:40:00,2016-03-11,2016-03-11,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","CRUDE OIL TANKER","0","OFF SHORE",2.86666666666667,4.85,"Africa/Lagos","AFTERNOON",1,0
"97",2016-03-11 00:30:00,2016-03-10 23:30:00,2016-03-11,2016-03-10,"WEST AFRICA","NIGERIA","OTHER MARITIME RISK","PRODUCT TANKER","0","BERTH",6.39916666666667,3.40277777777778,"Africa/Lagos","NIGHT",1,1
"98",NA,NA,2016-03-10,2016-03-10,"SOUTH ASIA","BANGLADESH","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,21.8640477777778,89.7445677777778,"Asia/Dhaka","MORNING",1,0
"99",2016-03-09 05:10:00,2016-03-09 04:10:00,2016-03-09,2016-03-09,"WEST AFRICA","CONGO","FAILED ATTACK, THEFT","REEFER","0","BERTH",-4.12555555555555,13.0383333333333,"Africa/Lagos","NIGHT",1,0
"100",NA,NA,2016-03-05,2016-03-05,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","PRODUCT TANKER","0","OFF SHORE",4.09583333333333,6.70444444444444,"Africa/Lagos","UNKNOWN",1,1
"101",2016-03-04 16:00:00,2016-03-04 15:00:00,2016-03-04,2016-03-04,"SOUTH EAST ASIA","INDONESIA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",-5.9295475,106.759768333333,"Asia/Pontianak","AFTERNOON",1,1
"102",NA,NA,2016-03-04,2016-03-04,"SOUTH ASIA","BANGLADESH","KIDNAP/RANSOM AT SEA",NA,"0","OFF SHORE",20.7550855555556,89.2556761111111,"Asia/Dhaka","UNKNOWN",1,1
"103",2016-03-03 04:45:00,2016-03-03 03:45:00,2016-03-03,2016-03-03,"EAST AFRICA","KENYA","ARMED ROBBERY AT ANCHORAGE","PRODUCT TANKER","0","ANCHORAGE",-3.91666666666667,39.6722222222222,"Africa/Nairobi","NIGHT",1,1
"104",NA,NA,2016-03-02,2016-03-02,"WEST AFRICA","GHANA","NOTICE",NA,"0",NA,5.60743861111111,-0.0365280555555556,"Africa/Accra","UNKNOWN",1,0
"105",NA,NA,2016-03-02,2016-03-02,"MIDDLE EAST","YEMEN","OTHER MARITIME RISK",NA,"0",NA,14.8863961111111,42.9208375,"Asia/Riyadh","UNKNOWN",1,1
"106",2016-03-01 07:30:00,2016-03-01 06:30:00,2016-03-01,2016-03-01,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","PASSENGER VESSEL","0","OFF SHORE",4.83920694444444,8.24249277777778,"Africa/Lagos","MORNING",1,1
"107",2016-04-30 06:50:00,2016-04-30 04:50:00,2016-04-30,2016-04-30,"SOUTH ASIA","INDIA","THEFT AT ANCHORAGE","CRUDE OIL TANKER","0","ANCHORAGE",17.5944444444444,83.425,"Asia/Kolkata","MORNING",1,1
"108",2016-04-29 01:00:00,2016-04-28 23:00:00,2016-04-29,2016-04-28,"NORTH EAST ASIA","CHINA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",38.9305555555556,119.238888888889,"Asia/Shanghai","NIGHT",1,1
"109",2016-04-28 12:30:00,2016-04-28 10:30:00,2016-04-28,2016-04-28,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","TANKER","0","OFF SHORE",4.33333333333333,4.45,"Africa/Lagos","AFTERNOON",1,0
